n_day,k_day,factor_6h,factor_12h,12h/6h_ratio,FW_ok,Anth_ok,Total_ok
2.00,7.78e-02,3.8,12.2,3.2,4,5,9
2.50,3.18e-02,3.8,16.8,4.4,4,5,9
3.00,1.30e-02,3.8,23.4,6.2,4,5,9
3.50,5.29e-03,3.8,32.7,8.6,5,5,10
4.00,2.16e-03,3.8,45.8,12.1,5,5,10
4.50,8.82e-04,3.8,64.4,16.9,5,5,10
5.00,3.60e-04,3.8,90.6,23.8,5,5,10
5.50,1.47e-04,3.8,127.7,33.6,5,5,10
6.00,6.00e-05,3.8,180.2,47.4,5,5,10
6.50,2.45e-05,3.8,254.4,67.0,6,6,12
7.00,1.00e-05,3.8,359.4,94.6,6,6,12
7.50,4.08e-06,3.8,507.9,133.6,5,6,11
8.00,1.67e-06,3.8,717.8,188.9,5,6,11
8.50,6.81e-07,3.8,1014.7,267.0,5,6,11
9.00,2.78e-07,3.8,1434.6,377.5,4,6,10
9.50,1.13e-07,3.8,2028.4,533.8,4,6,10
10.00,4.63e-08,3.8,2868.2,754.8,4,6,10
10.50,1.89e-08,3.8,4055.8,1067.3,5,6,11
11.00,7.72e-09,3.8,5735.4,1509.3,5,6,11
11.50,3.15e-09,3.8,8110.7,2134.4,5,6,11
12.00,1.29e-09,3.8,11469.8,3018.4,5,5,10
