Set,Treatment,FW_obs,FW_pred,FW_error_pct,Anth_obs,Anth_pred,Anth_error_pct
Training,CK,87.0,86.5,-0.5,433,439.0,1.3
Training,L6D6,91.4,92.5,1.2,494,474.0,-4.0
Training,L6D6-N,80.8,84.0,3.9,493,475.0,-3.6
Training,VL3D12,67.0,69.4,3.6,482,492.0,2.0
Training,L6D12,60.4,58.9,-2.5,518,496.0,-4.3
Training,H12D3,60.6,61.3,1.2,651,651.0,0.0
Validation,CK,85.14,86.5,1.6,413,439.0,6.2
Validation,VL3D3,89.1,88.4,-0.8,437,457.0,4.5
Validation,L6D3,92.18,89.9,-2.5,468,473.0,1.1
Validation,M9D3,83.79,87.8,4.8,539,589.0,9.2
Validation,H12D3,62.2,61.3,-1.4,657,651.0,-0.9
Validation,VH15D3,51.2,51.2,0.0,578,532.0,-7.9
